,size,weight,age,gender,whale_type
0,6.222661170915413,7.085120087171929,21,male,orca
1,10.097795678375196,37188.56235379513,59,male,humpback
2,5.451440434233264,5.263658117312917,43,male,orca
3,4.333328639254312,0.6569267140912909,3,female,humpback
4,5.167070530272051,1.515861880342119,73,female,narwhal
5,4.4744795824950465,4.342736562379941,20,female,orca
6,3.4888489504536424,2.973349189205667,43,female,orca
7,12.08672021139045,44656.40059558099,40,male,humpback
8,4.064632425211173,1.2730382301661816,98,female,narwhal
9,12.648941410520733,42338.97376631576,77,male,humpback
10,2.8650721900299403,0.6842651558743149,8,male,narwhal
11,3.857077035623566,1.356412869140902,95,male,narwhal
12,3.1971133090226003,2.9404795924659224,5,female,orca
13,4.432062738946411,4.595893812245295,27,male,orca
14,4.718440442539145,1.4885844666050747,76,male,narwhal
15,12.222482668571711,48.53383041640533,23,female,humpback
16,5.190297160720491,1.5774256661767685,61,female,narwhal
17,3.167296838706404,0.122510371125282,1,male,orca
18,13.631175004243072,58.76746444335062,37,female,humpback
19,5.457655395027252,6.056198926696403,15,male,orca
20,8.077764794256375,7.775023228832538,35,male,orca
21,14.400593479792215,49361.5955866036,22,male,humpback
22,3.1106593294667584,3.2333533874681937,32,female,orca
23,11.593222893887004,45.28914897276569,37,female,humpback
24,3.0210582871400717,0.4097263865725815,3,male,narwhal
25,4.784625410637142,1.531891512176359,45,male,narwhal
26,13.401314954446502,54.62713011217336,31,female,humpback
27,4.76917032273572,1.3568238373399784,53,female,narwhal
28,1.7759880827725798,2.289518962240378,22,female,orca
29,7.789010248920448,6.899548076977467,8,male,orca
30,0.1042149610954036,0.998463213585652,24,female,orca
31,11.695353148582344,52.23315338710396,51,female,humpback
32,5.494517978696231,0.6724382017253886,4,female,humpback
33,6.6742562233122635,7.686827516641067,12,female,orca
34,12.36607042706733,51.165339467308925,57,female,humpback
35,4.866716950831405,1.2393813317648965,95,female,narwhal
36,8.76054502430084,8.244312394025266,38,female,orca
37,6.164615502542512,6.8825465781322315,33,female,orca
38,3.047162696787044,0.1863047413912014,4,male,orca
39,4.204385211664178,1.1666023123932132,32,male,narwhal
40,12.415136019231795,50.44357759774841,28,female,humpback
41,6.104077940118301,6.41519652257144,33,male,orca
42,3.69545377758676,3.2890227181672804,28,female,orca
43,13.730859126109657,43148.14420961806,72,male,humpback
44,4.942804916156416,1.264435209875128,102,male,narwhal
45,4.124031861827095,1.3919270083578996,12,male,narwhal
46,2.6033750692434,0.8799879097294907,58,female,narwhal
47,13.027252845539987,50.647300527764685,70,female,humpback
48,2.057411131769354,0.1924657270810977,4,male,orca
49,9.829624599316578,9.627333151757815,13,male,orca
