,budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count
0,0,,64450,tt1423592,tl,Kinatay,"A young man tries to make some money so he can marry his girlfriend. He takes a job for $2,000 and then soon realizes that this job involves killing a woman.",1.696516,2009-09-23,0.0,105.0,Released,,Kinatay,5.8,19.0
1,0,,52221,tt1346983,en,Loving Leah,"A handsome Washington, D.C. doctor and a young New York woman fall in love at an unusual time...after they get married. Leah Lever is married to an Orthodox rabbi, Benjamin Lever, whose brother, Jake is a successful cardiologist and a non-practicing Jew. Jake is stunned when Benjamin dies suddenly, but not as stunned as when he is told that, under an ancient Jewish Law, he is expected to marry the childless Leah to carry on Benjamin's name.",0.449706,2009-01-25,0.0,95.0,Released,,Loving Leah,5.7,10.0
2,100000000,,2059,tt0368891,en,National Treasure,"Modern treasure hunters, led by archaeologist Ben Gates, search for a chest of riches rumored to have been stashed away by George Washington, Thomas Jefferson and Benjamin Franklin during the Revolutionary War. The chest's whereabouts may lie in secret clues embedded in the Constitution and the Declaration of Independence, and Gates is in a race to find the gold before his enemies do.",18.932203,2004-11-19,347451894.0,131.0,Released,The greatest adventure history has ever revealed.,National Treasure,6.4,1974.0
3,0,,5516,tt0335245,en,The Ladykillers,"An eccentric, if not charming Southern professor and his crew pose as a band in order to rob a casino, all under the nose of his unsuspecting landlord – a sharp old woman.",13.106691,2004-03-25,0.0,104.0,Released,The greatest criminal minds of all time have finally met their match.,The Ladykillers,6.0,421.0
4,0,,124613,tt0112586,en,Brothers in Trouble,"Amir is an illegal Pakistani immigrant smuggled into England in the 1960's to work, to send money to his family and perhaps even bring them over with him. A skilled laborer, he is forced to do unskilled work like shoveling sheep dung and processing wool. He lives in a boarding house with nearly a dozen other men, under the supervision of Hussein Shah. He befriends a young student, Sakib, who dreams of being a writer. Their existence is punctuated by secret movies, a visiting prostitute, fear of detection and deportation, and the gangster-like smuggler who comes by for his take every week. The household is shaken up by the arrival of a white girl, Shah's girlfriend, and the sense of femininity and family she brings.",0.594716,1995-08-23,0.0,102.0,Released,,Brothers in Trouble,0.0,0.0
5,0,,8194,tt0473488,en,A Guide To Recognizing Your Saints,"Dito Montiel, a successful author, receives a call from his long-suffering mother, asking him to return home and visit his ailing father. Dito recalls his childhood growing up in a violent neighborhood in Queens, N.Y., with friends Antonio, Giuseppe, Nerf and Mike.",7.34846,2006-09-29,516139.0,104.0,Released,Sometimes the only way to move forward is to go back.,A Guide To Recognizing Your Saints,6.8,98.0
6,75000000,http://www.munkyourself.com/,55301,tt1615918,en,Alvin and the Chipmunks: Chipwrecked,"Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.",8.066393,2011-12-14,342695435.0,87.0,Released,This holiday it's gonna get squeaky.,Alvin and the Chipmunks: Chipwrecked,5.4,499.0
7,0,,24020,tt0206064,en,Johnny Tsunami,A Hawaiian teenage surfer shows off his skills when he takes to the snow slopes in Vermont.,2.780335,1999-07-24,0.0,88.0,Released,The Temperature Is Down But The Surf Is Up!,Johnny Tsunami,5.1,20.0
8,0,,218369,tt0028354,en,That Girl From Paris,"This light-hearted musical romance follows the exploits of Nikki Martin (Lily Pons), a beautiful French opera star who stows away on an ocean liner in hopes of escaping her jealous fiancee. Once aboard, she joins an American swing band and falls in love with its leader (Gene Raymond), who, after hearing her sing, eventually comes to reciprocate her feelings. That Girl From Paris received an Academy Award Nomination for Best Sound, and includes musical highlights such as, ""Seal It With a Kiss,"" ""The Blue Danube,"" ""Una Voce Poco Fa,"" and ""The Call to Arms."" Directed by Leigh Jason, this movie also features actors Mischa Auer, Frank Jenks, Lucille Ball and Jack Oakie.",0.125647,1936-12-31,0.0,104.0,Released,,That Girl From Paris,0.0,0.0
9,0,,382474,tt5361394,en,Triumph’s Election Special 2016,"In his election special, Triumph reports from the primary states, chases down Ted Cruz and other candidates, coaches Mike Huckabee, and attends town halls, debates, and Trump rallies. All this plus a spirited round-table discussion including Alan Dershowitz and Sanjay.",0.052958,2016-02-11,0.0,85.0,Released,,Triumph’s Election Special 2016,0.0,0.0
