,budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count
0,0,,183252,tt0100347,en,Perfectly normal,A cab driver and an opera fan strike up an unusual friendship.,0.083899,1991-02-15,0.0,107.0,Released,,Perfectly normal,5.5,1.0
1,0,,172890,tt2731434,fr,Metastases,,0.201495,2012-03-01,0.0,0.0,Released,,Metastases,5.9,5.0
2,80000000,,11374,tt0131369,en,Edtv,Video store clerk Ed agrees to have his life filmed by a camera crew for a tv network.,7.48939,1999-03-26,0.0,122.0,Released,Fame. Be careful. It's out there.,Edtv,5.7,168.0
3,0,,45048,tt0079144,en,Felicity,Young Felicity lives in a monastic school. The only way to live out her sexual fantasies is together with her girlfriend Jenny. But then she receives an invitation to her sister in Hong-Kong and can't wait to finally do the real thing.,1.96696,1978-10-09,0.0,94.0,Released,She ain't Mama's little girl no more!,Felicity,6.8,6.0
4,0,,7346,tt0491044,cn,文雀,"Kei (Simon Yam) is the experienced leader of a team of pickpockets — also known as ""Sparrows"" in HK slang. He enjoys a carefree lifestyle taking photos. One day a dashing beauty, Chun-Lei (Kelly Lin), suddenly appears in Kei's viewfinder. Kei is mesmerized. But behind Chun-Lei's attractive facade lies a mysterious past and a mission to set herself free.",1.417527,2008-06-04,0.0,87.0,Released,,Sparrow,6.4,22.0
5,0,,12772,tt0104695,en,Leap of Faith,"Jonas Nightengale is a fraudulent Christian faith healer who makes a living travelling around America holding revival meetings and conducting 'miracles' with the help of his friend and manager, Jane, and their entourage. One of their trucks breaks down in Rustwater, a town in desperate need of rain to save their crops. While waiting for spare parts, Jonas decides to hold a revival meeting in the town. The local sheriff, Will Braverman, is skeptical and tries to prevent his town and its people from being conned. However a local disabled boy, Boyd, believes Jonas could make him walk again. Events in Rustwater make Jonas examine his own faith and doubts.",5.25527,1992-12-18,0.0,108.0,Released,"Real miracles, sensibly priced.",Leap of Faith,5.1,49.0
6,65000000,http://eyeswideshut.warnerbros.com/,345,tt0120663,en,Eyes Wide Shut,"After Dr. Bill Hartford's wife, Alice, admits to having sexual fantasies about a man she met, Bill becomes obsessed with having a sexual encounter. He discovers an underground sexual group and attends one of their meetings -- and quickly discovers that he is in over his head.",13.268484,1999-07-14,162091208.0,159.0,Released,Cruise. Kidman. Kubrick.,Eyes Wide Shut,7.1,1266.0
7,0,,16388,tt0112585,en,The Brothers McMullen,"Deals with the lives of the three Irish Catholic McMullen brothers from Long Island, New York, over three months, as they grapple with basic ideas and values — love, sex, marriage, religion and family — in the 1990s. Directed, written, produced by and starring Edward Burns.",2.039196,1995-08-09,0.0,98.0,Released,Sometimes the Best Friends Are the Ones You've Known Your Whole Life.,The Brothers McMullen,6.3,23.0
8,0,,18212,tt0168987,en,Better Than Chocolate,"Not long after moving into her own place, Maggie finds herself with two unsolicited roommates: her recently divorced mother, Lila, and her young brother. The timing is especially bad, considering Maggie has fallen hard for an attractive woman, Kim, only hours before they move in. What could be a nonissue becomes increasingly complicated -- since Maggie's family is unaware of her sexual orientation, and Maggie is not open to sharing that information.",5.12798,1999-02-14,0.0,101.0,Released,A delicious romantic comedy.,Better Than Chocolate,6.4,25.0
9,31192,http://downterrace.blogspot.com/,42151,tt1489167,en,Down Terrace,"After serving jail time for a mysterious crime, Bill and Karl get out of jail and become preoccupied with figuring out who turned them in to the police. On top of that, the ""family business"" is on the rocks, and the motley crew of criminals who operate out of Down Terrace aren't feeling terribly trusting of one another. It might look like an ordinary house, but at Down Terrace, the walls are closing in..",1.585713,2009-09-01,10000.0,89.0,Released,You're only as good as the people you know.,Down Terrace,6.3,26.0
